Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
530;FOXF;Fox Factory Holding Corp.;Акции;Акции иностранного эмитента обыкновенные;;US35138V1026;;1,00;0,01000;USD;11.06.2019 0:00:00
531;FRE@DE;Fresenius SE & Co. KGaA;Акции;Акции иностранного эмитента обыкновенные;;DE0005785604;;1,00;0,01000;EUR;01.03.2021 0:00:00
532;FRHC;Freedom Holding Corp.;Акции;Акции иностранного эмитента обыкновенные;;US3563901046;;1,00;0,01000;USD;16.10.2019 0:00:00
533;FRPH;FRP Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30292L1070;;1,00;0,01000;USD;11.06.2019 0:00:00
534;FRPT;Freshpet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3580391056;;1,00;0,01000;USD;31.10.2019 0:00:00
535;FSLR;First Solar, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3364331070;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
536;FSLY;Fastly, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US31188V1008;;1,00;0,01000;USD;31.10.2019 0:00:00
537;FTCH;Farfetch Limited;Акции;Акции иностранного эмитента обыкновенные класса A;;KY30744W1070;;1,00;0,01000;USD;04.12.2020 0:00:00
538;FTCI;FTC Solar, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30320C1036;;1,00;0,01000;USD;28.04.2021 0:00:00
539;FTDR;frontdoor, inc.;Акции;Акции иностранного эмитента обыкновенные;;US35905A1097;;1,00;0,01000;USD;29.07.2020 0:00:00
540;FTI;TechnipFMC plc;Акции;Акции иностранного эмитента обыкновенные;;GB00BDSFG982;;1,00;0,01000;USD;31.08.2017 0:00:00
541;FTNT;Fortinet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US34959E1091;;1,00;0,01000;USD;31.01.2019 0:00:00
542;FTV;Fortive Corporation;Акции;Акции иностранного эмитента обыкновенные;;US34959J1088;;1,00;0,01000;USD;31.08.2017 0:00:00
543;FUL;H.B. Fuller Company;Акции;Акции иностранного эмитента обыкновенные;;US3596941068;;1,00;0,01000;USD;28.02.2019 0:00:00
544;FWRD;Forward Air Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3498531017;;1,00;0,01000;USD;29.07.2020 0:00:00
545;GATX;GATX Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3614481030;;1,00;0,01000;USD;29.07.2020 0:00:00
546;GBCI;Glacier Bancorp, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US37637Q1058;;1,00;0,01000;USD;18.05.2020 0:00:00
547;GBT;Global Blood Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US37890U1088;;1,00;0,01000;USD;05.08.2019 0:00:00
548;GBX;The Greenbrier Companies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3936571013;;1,00;0,01000;USD;28.02.2019 0:00:00
549;GCO;Genesco Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3715321028;;1,00;0,01000;USD;11.06.2019 0:00:00
550;GCP;GCP Applied Technologies Inc.;Акции;Акции иностранного эмитента обыкновенные;;US36164Y1010;;1,00;0,01000;USD;11.06.2019 0:00:00
551;GD;General Dynamics Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3695501086;;1,00;0,01000;USD;19.10.2016 0:00:00
